,season,seed,wp,papg,ppg,fgp,fgp3,orpg,drpg,ftp,apg,bpg,spg,fpg,topg
1421,2003,16,0.4482758620689655,78.44827586206897,71.20689655172414,0.42926533090467517,0.36015325670498083,12.275862068965518,23.17241379310345,0.7627677100494233,13.03448275862069,3.0,7.068965517241379,19.103448275862068,16.20689655172414
1411,2003,16,0.6,70.83333333333333,72.8,0.44752714113389624,0.3207207207207207,13.166666666666666,24.8,0.6199524940617577,14.2,2.2333333333333334,6.433333333333334,18.3,15.233333333333333
1112,2003,1,0.8928571428571429,70.25,85.21428571428571,0.46141304347826084,0.3505338078291815,15.178571428571429,27.642857142857142,0.7014285714285714,17.642857142857142,4.214285714285714,8.464285714285714,17.75,14.785714285714286
1436,2003,16,0.6551724137931034,63.13793103448276,67.79310344827586,0.4444444444444444,0.34075723830734966,12.96551724137931,25.724137931034484,0.6578483245149912,14.206896551724139,2.9655172413793105,6.862068965517241,15.89655172413793,14.068965517241379
1113,2003,10,0.6206896551724138,69.17241379310344,75.96551724137932,0.4781818181818182,0.3178082191780822,13.689655172413794,23.310344827586206,0.6697368421052632,15.551724137931034,4.241379310344827,5.206896551724138,19.413793103448278,14.0
1272,2003,7,0.7931034482758621,65.82758620689656,74.51724137931035,0.4379310344827586,0.3487972508591065,14.068965517241379,25.96551724137931,0.6536144578313253,16.620689655172413,5.068965517241379,7.379310344827586,18.75862068965517,13.793103448275861
1141,2003,11,0.7931034482758621,73.24137931034483,79.34482758620689,0.5052356020942408,0.38076923076923075,10.586206896551724,23.275862068965516,0.7657534246575343,15.620689655172415,4.0,7.103448275862069,20.96551724137931,18.24137931034483
1166,2003,6,0.8787878787878788,64.33333333333333,79.24242424242425,0.4994725738396624,0.3890532544378698,10.878787878787879,23.181818181818183,0.6928895612708018,16.818181818181817,4.454545454545454,8.393939393939394,17.272727272727273,13.363636363636363
1143,2003,8,0.7241379310344828,69.75862068965517,74.48275862068965,0.46564885496183206,0.3765182186234818,11.241379310344827,24.379310344827587,0.6855123674911661,16.0,2.793103448275862,6.551724137931035,17.103448275862068,14.172413793103448
1301,2003,9,0.6,68.0,72.4,0.45625,0.3540740740740741,9.733333333333333,22.033333333333335,0.7703583061889251,14.666666666666666,3.066666666666667,7.766666666666667,18.666666666666668,14.2
1163,2003,5,0.7,71.4,80.03333333333333,0.47481243301178994,0.386411889596603,14.766666666666667,27.9,0.6742081447963801,15.633333333333333,7.733333333333333,5.933333333333334,18.4,15.8
1140,2003,12,0.7419354838709677,63.67741935483871,72.45161290322581,0.46884833228445566,0.384,10.870967741935484,24.419354838709676,0.753004005340454,13.419354838709678,2.5161290322580645,6.935483870967742,21.419354838709676,13.741935483870968
1181,2003,3,0.8,70.4,81.96666666666667,0.4535911602209945,0.3559870550161812,13.766666666666667,23.1,0.7090261282660333,13.833333333333334,5.133333333333334,8.5,21.266666666666666,14.033333333333333
1161,2003,14,0.5666666666666667,72.66666666666667,74.0,0.5067178502879078,0.3631123919308357,10.8,23.466666666666665,0.7005494505494505,15.5,4.233333333333333,5.333333333333333,20.566666666666666,16.133333333333333
